Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
45.129.84.177	305	218	19907	12329	30100	TRUE
150.230.223.82	302	1370	28721	5000	2588333	TRUE
108.61.54.17	301	499	56473	5000	10005000	TRUE
104.156.227.71	298	400	68867	5000	7505001	FALSE
84.32.34.94	297	4068	5145	5145	5233	TRUE
46.4.159.73	297	27	28702	8300	5010000	TRUE
103.50.32.128	296	1524	50457	5000	10005000	TRUE
168.138.169.115	294	1145	28130	5000	1605000	TRUE
141.98.217.94	290	945	62961	5000	2005000	FALSE
84.32.131.46	290	1628	5147	5143	6120	TRUE
45.250.255.154	290	337	12054	6000	39999	TRUE
3.253.67.15	289	1434	17653	5200	415000	TRUE
104.156.250.120	289	368	59521	5000	10005000	TRUE
37.27.102.125	289	28	8307	8300	13332	TRUE
199.254.199.154	287	795	195182	5000	4005000	FALSE
141.98.218.56	285	670	100132	5000	10056400	FALSE
93.115.25.192	282	1599	76235	5005	10005000	TRUE
147.75.83.35	281	1915	77176	5000	10005001	TRUE
45.129.84.188	281	788	24237	9583	1305000	TRUE
84.32.34.96	277	2066	5145	5145	5233	TRUE
46.4.161.197	273	28	19143	8300	660394	TRUE
158.179.176.110	273	716	19066	5000	1605000	TRUE
154.30.4.98	272	27	13304	13301	13401	TRUE
46.4.161.200	272	29	13338	8300	240888	TRUE
138.2.100.96	271	1280	35173	5000	4522876	TRUE
35.91.4.122	269	1457	22303	5003	505000	TRUE
91.210.101.69	269	1714	28411	5000	505000	TRUE
141.98.217.204	266	1267	202477	5000	40005000	TRUE
65.20.100.25	265	847	17100	5000	435385	TRUE
141.147.176.167	265	1149	64454	5000	3051719	TRUE
46.4.161.199	265	23	16369	8300	706441	TRUE
35.77.30.228	264	1711	34510	5000	4039900	TRUE
213.35.114.19	262	1112	69470	5000	5088333	TRUE
148.113.162.19	261	814	23131	5000	721968	TRUE
142.4.53.84	260	1724	53752	17912	161470	TRUE
45.129.84.119	260	487	25594	12228	1305000	TRUE
202.8.8.37	258	619	58394	5000	10005001	TRUE
154.64.230.204	258	1901	5146	5146	5233	TRUE
199.254.199.12	255	691	248658	5000	4005000	FALSE
208.115.248.42	254	527	147377	5000	7505001	FALSE
64.130.48.64	252	123	131408	10290	4529946	FALSE
51.178.97.132	252	1788	15012	5000	505000	TRUE
49.13.118.148	250	16233	82468	16900	695000	TRUE
84.32.189.30	249	1508	71681	5003	10005000	FALSE
84.32.131.174	249	1505	5147	5143	6120	TRUE
158.179.177.126	248	1301	21530	5000	505000	TRUE
137.175.110.29	246	1250	24490	5000	505000	TRUE
192.158.224.121	241	41	8300	8300	13268	TRUE
66.135.14.147	240	355	92564	5000	10005000	FALSE
74.118.139.44	240	304	55562	5000	7505000	TRUE
141.98.217.62	239	886	79732	5000	3646472	FALSE
34.48.20.129	238	32	7529	5924	105099	TRUE
74.118.143.180	238	88	54563	5000	419967	TRUE
152.69.219.64	237	1029	16350	5000	257000	TRUE
46.4.161.198	236	50	20452	8300	705157	TRUE
64.31.24.58	233	971	69895	5000	5037163	FALSE
129.150.52.210	233	1310	32603	5000	805000	TRUE
103.219.170.77	232	6428	23657	12001	12253	TRUE
67.209.52.133	231	943	34569	5000	1355000	TRUE
173.231.44.52	231	490	31061	6004	205004	TRUE
139.178.94.245	230	993	41792	5003	527008	TRUE
37.27.102.126	230	38	8558	8300	35100	TRUE
145.40.97.247	229	1201	15517	5000	145000	TRUE
34.85.142.97	229	21	7597	5924	105099	TRUE
208.115.202.114	227	250	12075	5004	22840	TRUE
34.229.90.100	226	40	12084	11427	22181	TRUE
208.115.248.38	224	883	253424	5000	7505001	FALSE
141.98.218.58	224	442	59049	5000	7005001	TRUE
185.172.191.8	223	574	12555	5000	77000	TRUE
45.250.253.78	223	1210	170312	5000	10005000	FALSE
54.85.110.125	221	652	31583	5001	399613	TRUE
141.147.167.186	220	755	20607	5000	405000	TRUE
185.101.34.254	218	846	26691	5005	1005001	TRUE
64.185.234.242	218	19	8772	8300	35100	TRUE
5.199.170.18	216	1274	26916	5003	605000	TRUE
37.27.67.225	216	35	8533	8300	35100	TRUE
74.118.140.195	215	206	57707	5241	7505001	TRUE
202.8.9.104	214	695	376773	5000	4005000	FALSE
84.32.131.175	213	2953	5149	5144	6120	TRUE
37.120.245.6	211	1372	11378	5100	155000	TRUE
93.115.25.111	210	1233	74881	5000	10005000	TRUE
139.84.238.122	210	1594	26564	5000	1009061	TRUE
149.28.35.155	209	280	92334	5000	10005001	FALSE
202.8.8.10	208	425	3787577	5000	25005000	FALSE
84.32.131.168	207	3293	5146	5144	6120	TRUE
195.181.173.237	207	574	29467	15900	402969	TRUE
185.102.218.135	207	227	22050	15912	149270	TRUE
150.136.92.6	207	4	20447	13303	310000	TRUE
195.181.173.251	206	377	42055	15906	1400412	TRUE
173.231.44.55	206	474	38496	6110	1355131	TRUE
173.231.15.242	205	1147	79377	5237	10005000	TRUE
173.231.62.130	205	15	8660	8300	35100	TRUE
147.75.102.175	203	1082	58690	5020	10005001	TRUE
51.195.199.98	203	283	43760	6969	74788	TRUE
67.209.53.73	202	2488	20342	5000	151011	TRUE
154.16.170.73	202	33	43123	8300	5010000	TRUE
84.32.131.203	201	1623	5147	5143	6120	TRUE
178.237.58.204	201	2450	12221	12102	12353	TRUE
142.4.53.74	200	1531	46315	17961	385953	TRUE
138.2.23.86	199	665	39329	5000	3505000	TRUE
168.138.169.18	199	1102	52534	5000	5088333	TRUE
204.16.244.116	199	473	14620	5002	101000	TRUE
51.195.199.121	199	257	38872	6969	74508	TRUE
207.148.28.80	198	334	80565	5000	10005001	FALSE
38.55.75.19	198	13	14693	5210	310000	TRUE
208.91.107.13	197	733	681333	5000	50005001	FALSE
160.202.128.133	196	597	89893	5050	3005000	FALSE
37.27.99.18	196	28	8303	8300	13345	TRUE
208.91.107.11	195	588	510820	5000	10005001	FALSE
213.35.126.219	195	544	19941	5000	405000	TRUE
45.129.84.183	195	397	26631	13109	1355069	TRUE
51.195.199.139	194	228	41485	6969	74872	TRUE
208.115.224.222	193	409	199975	5000	7505001	FALSE
74.118.139.28	192	349	3418596	5000	50005000	FALSE
141.98.219.110	191	1538	19230	5001	230002	TRUE
130.61.238.203	191	792	10967	5097	100527	TRUE
79.127.227.47	188	461	22700	20945	104796	TRUE
74.118.142.169	188	2017	72583	5000	1205000	TRUE
74.118.143.12	185	324	3801175	5000	70005000	FALSE
74.118.139.92	185	446	12454	6853	178752	TRUE
66.23.193.27	185	22	8360	8300	13307	TRUE
84.32.189.26	184	1045	133367	5003	20005000	TRUE
51.195.199.67	184	237	38497	6969	74352	TRUE
103.106.59.91	182	836	15344	5000	252008	TRUE
195.181.173.235	182	436	27046	15905	383530	TRUE
67.209.52.162	180	86	75941	10024	2290224	FALSE
194.126.172.250	180	894	59713	5062	9005001	TRUE
103.50.32.110	179	993	72332	5000	10505000	FALSE
195.181.173.248	179	479	30069	15942	325378	TRUE
34.248.234.75	178	1471	644628	7889	8669517	FALSE
37.27.68.6	178	48	8429	8300	13334	TRUE
